"Parcel Number",Number,Street,"School District",Township,"Corp / Village","Sale #",Month,Year,"Sale Price",Sqft,Acres,"Yr Built",Story,Basement,Frame,Bedrooms,BasementSqft,"Fin Base",Air,GarageSqft,Type,"Heat Type",Roof,RoofType,Rooms,FullBaths,HalfBaths,Grade,MHRE,NeighCode,PropClass,LandValue,BldgValue,"Property Card"
010000080900,19475,LINDEN,2A,4A,,"  287"," 7",10,"    40000",,"    18432",,,,,,,,,,,,,,,,,,," 107",500,"  32840",,http://www.realestate.co.hocking.oh.us/cards/Crnt/010000080900.pdf
010000530000,,,2A,4A,,"  536",12,10,"   230000",,"    70000",,,,,,,,,,,,,,,,,,,7015,120,"  10970",,http://www.realestate.co.hocking.oh.us/cards/Crnt/010000530000.pdf
010000560101,20680,KEIFEL,2A,4A,,"  141"," 4",10,"   171600"," 1120","    18365",2002,1,B,F," 2"," 1120",F,,"  816",D,"HEAT PMP",S,," 6",2,,C,,7015,511,"  16390","  122750",http://www.realestate.co.hocking.oh.us/cards/Crnt/010000560101.pdf
010000700000,20644,CUPP,2A,4A,,"  474",11,10,"    65000",,"    73610",,,,,,,,,,,,,,,,,,,7015,502,"  24970",,http://www.realestate.co.hocking.oh.us/cards/Crnt/010000700000.pdf
010000710600,23431,"BIG PINE",2A,4A,,"  531",12,10,"   158950","  608","    90345",1993,1,,L," 2",,,,"  750",D,"FA GAS",S,GAB,,1,,C,,7015,581,"  27580","   71240",http://www.realestate.co.hocking.oh.us/cards/Crnt/010000710600.pdf
010000900000,20327,"ST RT 664",2A,4A,,"  441",11,10,"    60000"," 1120","     9012",1970,1,B,F,," 1120",,,"  484",D,"WM AIR",S,HIP," 4",1,,C-5,,7015,511,"  14250","   62340",http://www.realestate.co.hocking.oh.us/cards/Crnt/010000900000.pdf
010001030000,20672,"ST RT 664",2A,4A,,"  382"," 9",10,"    50000"," 1518","     4630",2006,1,,F," 3",,,Y,,,ELEC,S,ASP," 5",2,,C-5,,7015,511,"  10650","   89590",http://www.realestate.co.hocking.oh.us/cards/Crnt/010001030000.pdf
010002110000,,THOMAS,2A,4A,,"   90"," 3",10,"   115000",,"  1219870",,,,,,,,,,,,,,,,,,,7015,505," 122280",,http://www.realestate.co.hocking.oh.us/cards/Crnt/010002110000.pdf
010002600000,,"ST RT 56",2A,4A,,"  529",12,10,"   120000",,"     3000",,,,,,,,,,,,,,,,,,,7015,501,"    500",,http://www.realestate.co.hocking.oh.us/cards/Crnt/010002600000.pdf
010002600200,23270,"ST RT 56",2A,4A,,"  529",12,10,"   120000","  926","   213240",1953,1,B,F,,"  926",,,"  384",D,"FLR FUR",S,GAB," 5",1,,C,,7015,513,"  58690","  107370",http://www.realestate.co.hocking.oh.us/cards/Crnt/010002600200.pdf
